ПП Віжес;32808995;309805_1;KH:V183;14;RN;07.10.2021;;10;
6524;2;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023261600
7406;1;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023262300
7407;1;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023262317
23252;2;14,04;Сыр плав. паст. "С зеленью" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;23,4;28,08;4,68;4820023263734
15224;2;14,04;Сыр плавл. "Голландский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;23,4;28,08;4,68;4820023263307
23122;1;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023263703
23123;1;39,42;Брусок "Российский" 50% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023263697
13020;1;37,8; Брусок Голландский 45% 150г ТМ "КОМО";1;шт;31,5;31,5;37,8;6,3;4820039803498
13021;1;45; Брусок Ореховый 50% с грец. орехом 150г ТМ "КОМО";1;шт;37,5;37,5;45;7,5;4820039803542
13023;1;37,8; Брусок Российский 50% 150г ТМ "КОМО";1;шт;31,5;31,5;37,8;6,3;4820039803528
15103;1;37,8; Брусок Тенеро 50% 150г ТМ "КОМО";1;шт;31,5;31,5;37,8;6,3;4820039803986
8461;1;39,36; Слайс Голландский 45% 150г лоток ТМ "КОМО";1;шт;32,8;32,8;39,36;6,56;4820039802408
8412;1;39,36; Слайс Российский класс. 50% 150г лоток ТМ "КОМО";1;шт;32,8;32,8;39,36;6,56;4820039802392
13616;1;32,16;Сыр плавл. нар. Ветчина 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;26,8;32,16;5,36;4820039803566
10560;1;32,16;Сыр плавл. нар. Грибы 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;26,8;32,16;5,36;4820039803573
13151;1;32,16;Сыр плавл. нар. Сливочный 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;26,8;32,16;5,36;4820039803580
25301;1;47,1;Брусок  Российский 50% 185г ТМ "КОМО";1;шт;39,25;39,25;47,1;7,85;4820039804501
25310;2;6,348;ПСП пастообр. "Сливочный" 45% 90г ТМ "Молочний шлях";1;шт;5,29;10,58;12,7;2,12;4820023264694
25312;2;6,348;ПСП пастообр. "Российский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;10,58;12,69;2,11;4820023264724
24747;1;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023264014
24199;2;6,348;ПСП пастообр. "Дружба" 55% 90г ТМ "Молочний шлях";1;шт;5,29;10,58;12,7;2,12;4820023264700
